id	nv	ru	en
1	а	сажень (расстояние между вытянутыми в разные стороны руками)	
2	авӻур	клей	Glue
3	ави	глотка	Throat
4	авлид	"недоставать, не хватать (чего-л.)"	to be lacking
5	авлых	губа	lip
6	"авӈ, авӈи"	пасть (животного)	chaps
7	авсӄ	ёрш (рыба)	ruff
8	ағағр̆	1) хозяйственный инвентарь; 2) инструмент; 3) вещь	housewifely inventory;tool;thing
9	ағд	лаять	yaff
10	ағрд	быть чёрным (о масти)	
11	"ағр̆, ығр̆"	когда	when
12	ағр̆тиӈ	всегда	always
13	ағуд	"не желать, не хотеть"	to be loath
14	аӻаӄм	град	hail
15	аӻм	кольцо (украшение)	ring
16	"аӻр̆, аӻс"	"пучка (трава, употребляемая в пищу)"	wisp
17	азмыр̆	"подарок, гостинец"	gift
18	азмыть	мужчина	man
19	азмытьэӻлӈ	1) мальчик; 2) сын	"boy, son"
20	азӈи	жабры	gills
21	азрад	"беречься, остерегаться"	beware of
22	аиғд	"тот, та, то (видимый на большом расстоянии)"	that;downtowner
23	айғд	"течь (о воде, струе)"	flow
24	айғра	дикий кабан	wild boar
25	"айғчаӽ, иғрӈамх"	ручей	brook
26	айд	делать	"make, do"
27	"айзрӈ, айзрыӈ"	1. золото; 2. золотой	"gold, golden"
28	айруд	ругать	scold
29	айфтиӈ	выдумка	fib
30	аки	старший брат	older brother(pair)
31	аӄр̆	"1) направление и территория вниз по течению реки, залива; 2) нижний конец стойбища, посёлка, сел"	
32	"алвер̆ӄ, алӻаф"	"за, сзади"	for;behind
33	"алӻазид, адӻзид"	"отступаться, отказываться"	
34	алӻалӻад	"быть пёстрым, пятнистым"	
35	алӻалӻа	"пёстрый, пятнистый"	
36	"алӻаред, алӻред"	"оглядываться, оборачиваться"	
37	"алӻар̆, алӻас"	бусы	beads
38	"алӻаф, алвер̆ӄ"	"за, сзади"	for;behind
39	алӄа!	межд. фу!	pshaw
40	алми	1) зев; 2) нёбо	
41	алр̆	ягода	berry
42	"алхтур̆, алхтунд"	любовная лирическая песня	
43	алӽ	1) тюлень; 2) пятнистый бычок (рыба)	
44	амамд	шагать	foot walk
45	"амбӻи, абӻи"	нижний конец песчаной косы	
46	амғайр̆	повар	
47	амрад	пробовать на вкус	
48	амраӈ	вкус	
49	"амсп, мзик"	лахтак (первого года)	
50	амтрерд	"не успевать, опаздывать"	
51	амх	рот	mouth
52	ан	тоже	
53	анаӄ	1. замо́к; 2. замо́чный	
54	анғи	пятка	
55	андӽ	гость	guest; visitor
56	"андяй, адяй, тяй"	"опять, снова, ещё"	again
57	"анке, анк"	"впереди, раньше"	
58	анко	где	where
59	ань I	год	year
60	ань II	возраст	age
61	ань-ань	ежегодно	
62	аньнлами	полугодие	
63	аньӽ	самка	
64	ара	"почти, чуть-чуть"	
65	ари	"позади, сзади"	
66	арид	отставать	
67	ар̆ I	самец	
68	ар̆ II	связка юколы	
69	"ар̆ӄи, ар̆ӄей"	корюшка-зубатка (рыба)	
70	"ар̆ӄи лоӈ, т’р̆ар лоӈ"	апрель	
71	ар̆ п’еӄ	1. петух; 2. петушиный	
72	аскаск	паук (маленький)	
73	асӄ	1) младший брат; 2) младшая сестра	
74	асӄад	1. быть младшим; 2. младший	
75	ат I	частица усил. то	
76	ат II	тигр	tiger
77	"атим, атьм"	бабушка	grandma
78	"атк I, аткытьх"	"1) старший брат матери, дядя; 2) младший брат матери, дядя"	
79	"атк II, вес"	ворон	
80	атур̆	крышка	
81	"атьмсо, ир̆с"	щука	
82	аў	голос	voice
83	аўвилгур̆	громко	
84	аўд	"мест. указ. тот, та, то (видимый на небольшом расстоянии)"	
85	аўс	там	
86	аф	1) усы; 2) борода	
87	ах I	частица уже	
88	ах II	1) конец; 2) мыс	
89	аӽтлад	"быть верным, надёжным"	
90	аӽтла	"верный, надёжный"	
91	аӽтынд	"верить, надеяться"	
92	ая	черепаха	turtle
93	ва	сабля	
94	вавд I	проживать совместно	
95	вавд II	толочь	
96	вавд III	жалить	
97	вавд IV	ударять	
98	вавуд	"жевать, разжевать"	
99	вағд	оборвать	
100	"вағрд, ятьӻад"	стыдиться	
101	ваӻд	"строгать, тесать"	
102	ваӻзуд	"разъединять, разбирать на части"	
103	ваӻс	сиг (рыба)	
104	вад I	"драться; сражаться, биться, воевать"	
105	вад II	"перевязывать, накладывать повязку"	
